# Copied from parent region
region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Bangkok,trn_freight_road,Medium truck,BEV,2060,non-energy,0.5581,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2060,non-energy,0.5581,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2060,non-energy,0.5581,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2060,non-energy,0.5581,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2065,non-energy,0.5581,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2065,non-energy,0.5581,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2065,non-energy,0.5581,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2065,non-energy,0.5581,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2070,non-energy,0.5581,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2070,non-energy,0.5581,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2070,non-energy,0.5581,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2070,non-energy,0.5581,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2075,non-energy,0.5581,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2075,non-energy,0.5581,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2075,non-energy,0.5581,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2075,non-energy,0.5581,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2080,non-energy,0.5581,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2080,non-energy,0.5581,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2080,non-energy,0.5581,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2080,non-energy,0.5581,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2085,non-energy,0.5581,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2085,non-energy,0.5581,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2085,non-energy,0.5581,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2085,non-energy,0.5581,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2090,non-energy,0.5581,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2090,non-energy,0.5581,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2090,non-energy,0.5581,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2090,non-energy,0.5581,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2095,non-energy,0.5581,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2095,non-energy,0.5581,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2095,non-energy,0.5581,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2095,non-energy,0.5581,CORE
Bangkok,trn_freight_road,Medium truck,BEV,2100,non-energy,0.5581,CORE
Nonthaburi,trn_freight_road,Medium truck,BEV,2100,non-energy,0.5581,CORE
Rest of Thailand,trn_freight_road,Medium truck,BEV,2100,non-energy,0.5581,CORE
SamutPrakan,trn_freight_road,Medium truck,BEV,2100,non-energy,0.5581,CORE
Bangkok,trn_pass_road,Bus,BEV,1975,non-energy,1.9075,CORE
Nonthaburi,trn_pass_road,Bus,BEV,1975,non-energy,1.9075,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,1975,non-energy,1.9075,CORE
SamutPrakan,trn_pass_road,Bus,BEV,1975,non-energy,1.9075,CORE
Bangkok,trn_pass_road,Bus,BEV,1990,non-energy,1.9075,CORE
Nonthaburi,trn_pass_road,Bus,BEV,1990,non-energy,1.9075,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,1990,non-energy,1.9075,CORE
SamutPrakan,trn_pass_road,Bus,BEV,1990,non-energy,1.9075,CORE
Bangkok,trn_pass_road,Bus,BEV,2005,non-energy,1.9075,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2005,non-energy,1.9075,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2005,non-energy,1.9075,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2005,non-energy,1.9075,CORE
Bangkok,trn_pass_road,Bus,BEV,2010,non-energy,1.8153,CORE
Nonthaburi,trn_pass_road,Bus,BEV,2010,non-energy,1.8153,CORE
Rest of Thailand,trn_pass_road,Bus,BEV,2010,non-energy,1.8153,CORE
SamutPrakan,trn_pass_road,Bus,BEV,2010,non-energy,1.8153,CORE
