region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,1975,non-energy,1.9469,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,1990,non-energy,1.9469,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2005,non-energy,0.6778,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2010,non-energy,0.6819,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2015,non-energy,0.686,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2020,non-energy,0.6889,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,non-energy,0.638,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2030,non-energy,0.6051,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2035,non-energy,0.5729,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2040,non-energy,0.5503,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2045,non-energy,0.5329,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2050,non-energy,0.5202,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2055,non-energy,0.5202,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2060,non-energy,0.5202,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2065,non-energy,0.5202,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2070,non-energy,0.5202,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2075,non-energy,0.5202,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2080,non-energy,0.5202,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2085,non-energy,0.5202,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2090,non-energy,0.5202,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2095,non-energy,0.5202,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2100,non-energy,0.5202,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,non-energy,0.6856,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,1990,non-energy,0.6856,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2005,non-energy,0.228,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2010,non-energy,0.2291,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2015,non-energy,0.2301,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2020,non-energy,0.2308,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2025,non-energy,0.2186,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2030,non-energy,0.2108,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2035,non-energy,0.2031,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2040,non-energy,0.1977,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2045,non-energy,0.1936,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2050,non-energy,0.1906,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2055,non-energy,0.1906,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2060,non-energy,0.1906,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2065,non-energy,0.1906,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2070,non-energy,0.1906,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2075,non-energy,0.1906,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2080,non-energy,0.1906,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2085,non-energy,0.1906,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2090,non-energy,0.1906,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2095,non-energy,0.1906,CORE
Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2100,non-energy,0.1906,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,1975,non-energy,0.2096,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,1990,non-energy,0.2096,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2005,non-energy,0.1563,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2010,non-energy,0.1544,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2015,non-energy,0.1527,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2020,non-energy,0.1591,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2025,non-energy,0.1638,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2030,non-energy,0.1683,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2035,non-energy,0.1694,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2040,non-energy,0.173,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2045,non-energy,0.1764,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2050,non-energy,0.1798,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2055,non-energy,0.1796,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2060,non-energy,0.1795,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2065,non-energy,0.1794,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2070,non-energy,0.1793,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2075,non-energy,0.1791,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2080,non-energy,0.179,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2085,non-energy,0.1789,CORE
Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2090,non-energy,0.1788,CORE
